check-targets: OK, 238 cargo test targets all accounted for in scripts/acceptance-targets.tsv
acceptance-wsl: logs in /private/tmp/claude-501/-Users-zerozaki07-tmp-libmuffintin/e260fabd-b225-4ee1-80e9-75310e7132bc/scratchpad/audit/baseline
RUN_EXIT distributed_sparse_storage_dispatch ranks=2 exit=0
RUN_EXIT distributed_sparse_storage_dispatch ranks=4 exit=0
RUN_EXIT upstream_spmv ranks=1 exit=0
RUN_EXIT upstream_spmv ranks=2 exit=0
RUN_EXIT upstream_spmv ranks=4 exit=0
RUN_EXIT distributed_sparse_reduce ranks=1 exit=0
RUN_EXIT distributed_sparse_reduce ranks=2 exit=0
RUN_EXIT distributed_sparse_reduce ranks=4 exit=0
RUN_EXIT distributed_sparse_replicate ranks=1 exit=0
RUN_EXIT distributed_sparse_replicate ranks=2 exit=0
RUN_EXIT distributed_sparse_replicate ranks=4 exit=0
